name,code,year,casset,cdebt,asset,rearnings,debt,sales,employee,capital,equity,netincome,stock
(주)링네트,42500,12-Dec,41.94,5376444,280406,,0,0,4134959,1241485,2827284,612975,0
(주)링네트,42500,13-Dec,45,7220689,202965,0,0,0,5638569,1582120,2199871,1094512,0
(주)링네트,42500,14-Dec,50.25,6514972,79167,0,0,0,5100607,1414365,2429874,990651,42575
(주)링네트,42500,15-Dec,51.4,5181806,53156,0,0,0,3946454,1235352,1932189,732102,7713
(주)링네트,42500,16-Dec,47.45,4384120,28131,0,0,0,3274605,1109515,1457962,672062,0
(주)링네트,42500,17-Dec,50.89,5802320,25351,0,0,0,4706149,1096171,1397315,2179605,0
(주)링네트,42500,18-Dec,45.22,4785870,125688,0,0,0,3490102,1295768,2361239,1488099,0
(주)링네트,42500,19-Dec,45.73,9393821,276474,0,0,0,7022815,2371006,3415497,1145602,0
(주)링네트,42500,20-Dec,46.31,10341070,183334,0,0,0,7576531,2764539,3731523,1885908,0
(주)링크제니시스,219420,14-Dec,,,,,,,,,,,
(주)링크제니시스,219420,15-Dec,58.09,988105,90748,0,0,0,937729,50375,25796,130459,-16153
(주)링크제니시스,219420,16-Dec,62.67,1972305,105045,0,0,0,1758422,213882,242370,116860,-41553
(주)링크제니시스,219420,17-Dec,71.14,3159205,62303,0,0,0,2713735,445469,230126,425875,0
(주)링크제니시스,219420,18-Dec,74.99,1884267,13791,0,0,0,2196294,-312027,435770,13791,-190804
(주)링크제니시스,219420,19-Dec,82.03,1083949,13936,0,0,0,571790,512158,457919,13936,-48932
(주)링크제니시스,219420,20-Dec,70.85,713304,55239,0,0,0,514413,198891,348033,55239,0
(주)마이더스AI,222810,15-Dec,,,,,,,,,,,
(주)마이더스AI,222810,16-Dec,,,,,,,,,,,
(주)마이더스AI,222810,17-Dec,,,,,,,,,,,
(주)마이더스AI,222810,18-Dec,,,,,,,,,,,
(주)마이더스AI,222810,19-Dec,-16.29,-37857900,4196930,0,0,0,-36530356,-1327544,15786425,14336321,-25810685
(주)마이더스AI,222810,20-Dec,48.36,-10857875,1480323,0,0,0,-12185419,1327544,4427958,13221753,0
(주)맥스트,377030,20-Dec,,,,,,,,,,,
(주)모바일리더,100030,10-Dec,,,,,,,,,,,
(주)모바일리더,100030,11-Dec,,,,,,,,,,,
(주)모바일리더,100030,12-Dec,43.11,2142079,787,,0,0,1946135,195943,1768097,987908,0
(주)모바일리더,100030,13-Dec,48.18,4263981,18671,0,0,0,3897249,366732,1377705,206623,0
(주)모바일리더,100030,14-Dec,44.73,1391754,4999,0,0,0,1248330,143424,1617903,234899,0
(주)모바일리더,100030,15-Dec,51.56,-120882,60,0,0,0,70291,-191173,1428179,192438,0
