name,code,year,casset,cdebt,asset,rearnings,debt,sales,employee,capital,equity,netincome,stock,income,roe
(주)파인디앤씨,49120,Dec-15,35182361,39944902,101447240,34746856,43746273,168495877,224,9281660,57700968,343400,1820,1628785,0.59
(주)파인디앤씨,49120,Dec-16,52044169,55593456,127259725,28607842,72288248,177666099,158,9375910,54971477,-5059114,9270,1164024,-8.98
(주)파인디앤씨,49120,Dec-17,44203321,47385221,107567992,8369664,66149375,159356867,229,11103713,41418616,-19872127,3365,-5897479,-41.23
(주)파인디앤씨,49120,Dec-18,29968197,39525119,94508931,8737174,51466716,77325563,179,12368197,43042215,1636585,2105,2025770,3.88
(주)파인디앤씨,49120,Dec-19,33090037,43878595,103603701,3926689,58327837,77522237,186,13179972,45275863,-3722370,2110,-421576,-8.43
(주)파인디앤씨,49120,Dec-20,25574862,39603014,86418837,-8306154,52169669,58190392,163,13179972,34249168,-11393828,1720,-7679258,-28.65
(주)파인디지털,38950,Dec-10,50934310,11583520,84989284,16518608,21576061,115247273,98,4941208,63413223,12125391,3740,,19.18
(주)파인디지털,38950,Dec-11,50343174,6326755,84214486,20472987,15129178,79399701,125,4941208,69085308,6127325,2755,2516842,7.38
(주)파인디지털,38950,Dec-12,67766381,13563066,100670344,30591900,20762259,99801657,132,5033693,79908085,10897096,7880,10583878,13.81
(주)파인디지털,38950,Dec-13,75735797,9464678,106042000,36489812,15451572,98255109,152,5077623,90590428,7022792,6000,8033431,8.08
(주)파인디지털,38950,Dec-14,85625918,11505562,115052518,44793418,15642349,95823579,156,5095383,99410169,9269707,7170,7001395,10.01
(주)파인디지털,38950,Dec-15,79686880,7601743,110500490,44762454,12769986,83117417,168,5095383,97730504,923065,5590,-1358745,0.96
(주)파인디지털,38950,Dec-16,73334327,6346694,106837172,43792863,11795835,78001533,172,5095383,95041337,225233,6740,-3693758,-0.02
(주)파인디지털,38950,Dec-17,70734368,6657650,101843769,38758089,12128841,76035318,152,5100383,89714927,-4549357,5270,-3679309,-5.12
(주)파인디지털,38950,Dec-18,72379776,7923531,101738582,40087647,13136972,86035533,143,5105383,88601610,2099993,3750,1428970,2.16
(주)파인디지털,38950,Dec-19,75860974,12388877,106556674,39535883,17194993,96058312,146,5105383,89361682,-108749,3980,-216891,-0.14
(주)파인디지털,38950,Dec-20,85509213,12790323,109375877,45231476,16254369,104511483,152,5105383,93121508,6001291,7160,3428146,6.95
(주)파인테크닉스,106240,Dec-10,112483230,119801173,209646477,9510668,130898332,264177151,267,3956586,78748145,9723421,4495,8055366,15.93
(주)파인테크닉스,106240,Dec-11,172094812,198317472,332545542,16913656,228821188,324634350,399,3956586,103724354,20961839,10550,11334028,15.28
(주)파인테크닉스,106240,Dec-12,181559666,222876341,339471818,23379851,240475780,428847003,369,8245007,98996038,15820857,4395,26540528,11.98
(주)파인테크닉스,106240,Dec-13,154686798,212916806,327197693,5509602,236843958,314348642,214,10995007,90353735,-23740834,1880,-10685487,-29.63
(주)파인테크닉스,106240,Dec-14,155397469,192850131,328087814,20508031,207771073,365261308,243,15677588,120316741,13497836,2480,18063884,20.8
(주)파인테크닉스,106240,Dec-15,161623577,190877398,326170675,26748606,200349072,374729719,272,16076948,125821603,4671704,3200,10150461,6.49
(주)파인테크닉스,106240,Dec-16,127072716,97209525,251202607,26919581,120485818,216325021,320,16742550,130716789,963685,3405,626547,1.21
(주)파인테크닉스,106240,Dec-17,99509514,102384174,201276199,-14976135,116434322,174995498,255,17380847,84841877,-42400009,2490,-26908169,-49.64
(주)파인테크닉스,106240,Dec-18,59012154,74802213,156426841,-37708386,85847308,129688348,167,18804244,70579532,-21165095,1350,-18784977,-40.49
(주)파인테크닉스,106240,Dec-19,52518014,51102436,141853537,-37289250,58896753,134292076,168,21421690,82956785,-2154808,4140,6917681,0.59
(주)파인테크닉스,106240,Dec-20,58048779,52237056,138946205,-32441018,59683002,169822610,176,21703568,79263203,6313680,4415,10071535,9.23
(주)파커스,65690,Dec-10,52141142,18591760,94659685,67999017,18849392,88805665,280,5850000,75810293,8473598,6160,8656579,11.68
(주)파커스,65690,Dec-11,52105226,18845489,96485565,69443353,19105248,82210399,563,5850000,77380317,3490113,3840,3521811,4.56
