name,code,year,casset,cdebt,asset,rearnings,debt,sales,employee,capital,equity,netincome,income,stock_num,stock,roe,ebt,interest,facevalue
(주)링네트,42500,Dec-12,58552703,32632983,61800568,16360253,33056734,78764753,172,6599149,28743834,4134959,4097252,13198297,2210,16.87,5376444,-280654,500
(주)링네트,42500,Dec-10,49617500,32487928,53067683,11253989,33747265,61384915,133,5903233,19320418,3735506,,11806466,1625,19.33,4875829,-487796,500
(주)링네트,42500,Dec-14,71064438,32767073,76216564,26684028,33072090,114686036,228,7293439,43144474,5100607,6098268,14586878,6200,12.71,6514972,-88966,500
(주)링네트,42500,Dec-15,73603979,32640665,79689730,30439010,32848250,100240895,252,7293439,46841480,3946454,4075783,14586878,5420,8.44,5181806,-62307,500
(주)링네트,42500,Dec-16,77912680,36481903,87307939,33750293,36577124,128940792,280,7393439,50730815,3274605,4683172,14786878,4290,6.96,4384120,-27884,500
(주)링네트,42500,Dec-17,73664072,30279165,85250503,38937397,30331875,148506989,303,7468439,54918628,4706149,5202413,14936878,3775,8.91,5802320,-23389,500
(주)링네트,42500,Dec-18,82222061,40321338,92659133,41097055,40321338,137560878,282,7468439,52337795,3490102,4069975,14936878,3410,6.51,4785870,-67718,500
(주)링네트,42500,Dec-19,79307234,36114144,94447962,47482087,36413722,131919333,276,7608439,58034240,7022815,7023527,15216878,4180,12.73,9393821,-188577,500
(주)링네트,42500,Dec-20,111003635,53939174,123219274,54525445,54485413,149460916,264,7678439,68733861,7576531,7352789,15356878,7280,11.95,10341070,-178240,500
(주)링네트,42500,Dec-13,64555563,33758385,68444239,22033830,34028124,97061951,197,6599149,34416115,5638569,5673382,13198297,3405,17.85,7220689,-183772,500
(주)링크제니시스,219420,Dec-15,5714500,788961,8479805,4785871,1560679,9022990,,188445,6919126,937729,,37689,,27.11,988105,-11711,5000
(주)링크제니시스,219420,Dec-16,9209571,1645911,12069217,6544293,2391719,10194510,90,202730,9677498,1758422,1652305,2027300,,21.19,1972305,-10285,100
(주)링크제니시스,219420,Dec-17,12205876,1328669,15290331,9258029,1946695,11793696,115,212730,13343636,2713735,3518220,2127300,,23.58,3159205,-14162,100
(주)링크제니시스,219420,Dec-18,31594090,4524066,36098619,11041149,4719930,11631823,130,1121212,31378688,2196294,2346693,11212121,7190,10.27,1884267,-13791,100
(주)링크제니시스,219420,Dec-19,33920999,3052002,37630382,11773056,3269849,11404801,117,1121212,34360533,571790,1030927,11212121,7730,2.26,1083949,-6967,100
(주)링크제니시스,219420,Dec-20,38109398,8382726,41957166,12495294,8433508,12876501,105,1121212,33523658,514413,2813161,11212121,7670,2.15,713304,-37232,100
(주)링크제니시스,219420,Dec-14,,,,,,,,,,,,,,,,,
(주)마이더스AI,222810,Dec-16,,,,,,,94,,,,,,2385,,,,
(주)마이더스AI,222810,Dec-15,,,,,,,4,,,,,,1865,,,,
(주)마이더스AI,222810,Dec-18,,,,,,,121,,,,,,5550,,,,
(주)마이더스AI,222810,Dec-19,38577110,47641393,55633997,-23072255,52649490,12996701,45,3093669,2984507,-36530356,-6117681,30936689,1110,-1217.81,-37857900,-4246894,100
(주)마이더스AI,222810,Dec-17,,,,,,,121,,,,,,2100,,,,
(주)마이더스AI,222810,Dec-20,28290092,6339854,45387413,-29223382,6988069,8222169,65,12005227,38399345,-12185419,-3972735,120052271,668,-58.89,-10857875,-2055305,100
(주)맥스트,377030,Dec-20,,,,,,,,,,,,,,,,,
(주)모바일리더,100030,Dec-11,,,,,,,131,,,,,,6640,,,,
(주)모바일리더,100030,Dec-10,,,,,,,176,,,,,,13400,,,,
(주)모바일리더,100030,Dec-13,19959293,2896119,35412533,21574401,3559469,16648053,135,1641857,31853065,3897249,3094157,3283714,9340,13.53,4263981,-18235,500
(주)모바일리더,100030,Dec-12,18037855,3396671,33964958,17712552,4786041,10058128,132,1641857,29178917,1946135,1369847,3283714,9840,7.15,2142079,-787,500
(주)모바일리더,100030,Dec-14,17449793,1885563,34794238,22324139,2190796,13644173,99,1641857,32603442,1248330,99367,3283714,8480,4.15,1391754,-34379,500
(주)모바일리더,100030,Dec-16,16441662,2213286,34015404,22441030,2213286,13419242,72,1641857,31802117,144128,826320,3283714,11750,0.25,273418,-103,500
(주)모바일리더,100030,Dec-17,12793864,2146347,32019617,23357876,2146347,13343523,74,1641857,29873270,976912,582066,3283714,11350,3.09,999563,0,500
(주)모바일리더,100030,Dec-18,18867372,2270137,36279508,27188697,2959457,15345180,79,1641857,33320051,4405464,3439916,3283714,9810,13.44,4211194,-45,500
